Bundle ID,Type,Status,Slot,Tip (lamports),Failure Type,AI Action,AI Confidence,AI Reasoning
"2RxjnwzCDGSTSnSLKGojGuDkTbLtjUGJcsMCdGXZx4HrWTp2ZiYNBfGcZiV3e7qZqtjUV39xeGUyyfT4xNsdCNAR","normal","confirmed","427753994","3000","","","0%",""
"failed_normal_1","normal","failed","","0","","","0%",""
"3TbmvQNRmYpnAhKnGbKAK2s1dFTQFYH56UUhi8FEW3ZWVKh2DfCHhCxXn3AtdPfsmnb9CLvWw45CmvsYZrfgkGbF","normal","confirmed","427754079","3000","","","0%",""
"2gyDSE6MY7RCjV9GFVeBrxhKRVrjUZdo3WRm81fdURqiM1A1N9PCpkffFBfn93AY6BoV1zJLaGYHUXmDiLHmNm3c","normal","confirmed","427754152","3000","","","0%",""
"47TBUWFo3bdopV4X7rv72QDgNFoxQRsSrCFbQUnHApJiTFgBHoXYmbPyDMmxzHoqs3XhzNgmCGVUiKnvxuBChHzs","normal","confirmed","427754217","3000","","","0%",""
"HvotaBm7SvngTAaVahrBarRoHwav7mHsD7AUKwknpVH1FeFSv9uBwGX5WVgaAefwfM2tPmVv2WW12qdFZCnXBUf","normal","confirmed","427754273","3000","","","0%",""
"failed_blockhash_expiry_0","failure_injection","failed","","0","blockhash_expiry","retry_with_fresh_blockhash","85%","Blockhash validity window exceeded (150 slots). Submission delayed beyond expiration threshold."
"4pV1LKWofftrjEBtXLKTtmZYLbXbAWZ6yc7xeYAdzAAFJSuPpy3h8hkRukfJ177eE8Kp3d5uY7imUB2xtp7iQ1Na","failure_injection","failed","427754362","100","low_tip","retry","85%","The failure type 'fee_too_low' indicates the tip was insufficient to be included by the Jito block engine, likely due to competition from other bundles. Network conditions are moderate: skip rate at 10% (below 20% threshold) and congestion at 30% (not severe). Leader quality at 60% is acceptable but not excellent, suggesting a higher tip can improve inclusion probability. The blockhash is still fresh (140 slots remaining), so no refresh needed. The current tip range (2000-4000 lamports) with median 3000 suggests a tip of ~5250 lamports (75% increase) will place the bundle well above median, compensating for moderate leader quality and ensuring priority. A short delay of 500ms avoids immediate retry contention while maintaining timeliness. Confidence is high (0.85) because the error is actionable and network conditions are favorable for a retry with adjusted tip."
"x679PoNNn37aRKhN4bDs7Ek516kyD3WhABfuNvPr5HEeh17orF4USqQErUj7XzEWN8aXnuTuqkaKRMX8hH1kHej","failure_injection","failed","427754476","3000","compute_exceeded","retry","75%","The failure type 'compute_exceeded' is a recoverable error that typically occurs when a transaction's compute budget is insufficient for its operations. The network conditions are moderate (30% congestion, 10% skip rate) and leader quality is acceptable at 60%. The blockhash is still fresh with 140 slots remaining, so no refresh needed. The current tip market average is 3000 lamports, and increasing the tip by 50% to ~4500 lamports should improve priority for validator inclusion. A short 500ms delay allows for natural leader rotation without excessive waiting. However, the root cause may also be suboptimal compute budget allocation; consider profiling and optimizing the transaction's compute units to prevent recurrence. Confidence is 0.75 due to the recoverable nature of the error and favorable network conditions."
"2xEnmC64U3Cqwji45zRdMwGYnXcYmE5ucwqEK4XS9zRCTZ47gJv2zPGS4oeX4F2u3MpoW5qXBwybmYXvduPdm9Te","failure_injection","failed","427754570","3000","network_delay","wait_and_retry","70%","The bundle timed out after 8000ms submission latency, likely due to high network congestion (70%) and elevated skip rate (25%). Leader quality is moderate at 60%, indicating some validators may be unreliable. The blockhash is still fresh (140 slots remaining), so refreshing it is optional but recommended to avoid potential expiry during retry. The tip market average is 3000 lamports; increasing by 50% to 4500 lamports should make the bundle more competitive without overpaying. A 2-second delay allows the network to clear some congestion and reduces the chance of immediate re-timeout. Confidence is 0.7 because while conditions are challenging, the bundle has not failed due to an unrecoverable error, and the tip adjustment is reasonable."
"23oTeedEcHf8V678Xa66q7rdTrkNaYRSjHFfUoWSuWtq74QWuW2pP4PGx5NeAeYh2DNMaDQbF4FTs35BCq14V15G","failure_injection","failed","427754670","50000","high_tip","retry","85%","The failure type 'fee_too_high' suggests the submitted tip (likely around the market average of 3000 lamports) was not competitive enough for the validator to include the bundle, despite moderate network conditions (skip rate 10%, congestion 30%, leader quality 60%). The blockhash is still fresh (140 slots remaining), so no refresh is needed. To improve inclusion probability, a significant tip increase is warranted—75% above the median (to ~5250 lamports) balances cost and priority. A short delay of 1 second allows for any transient congestion to clear. Confidence is high due to clear actionable signal and favorable remaining blockhash window."
"2mJaM3fFDHuN4Q9uoxaVYtNMurpmEzgyppYUjnc6i1bdri9WFiwbdKLC38eZAEtmdPeW2qUktHhjf5SZFGZvQcVW","failure_injection","failed","427754768","3000","double_spend","retry","75%","The failure type 'invalid_transaction' at submission stage indicates a transaction-level issue (e.g., invalid nonce, account data mismatch, or insufficient funds) rather than a bundle ordering or tip problem. Blockhash is fresh (10 slots old, 140 remaining), so expiry is not a concern. Network conditions are moderate: skip rate 10% and congestion 30% are manageable, but leader quality at 60% suggests some leaders may be less reliable. The tip market average is 3000 lamports, and a 25% increase to ~3750 lamports should improve chances of landing without overpaying. A short delay of 200ms allows for potential leader rotation or state refresh. Confidence is 0.75 because invalid transactions often require client-side fixes (e.g., nonce update), but retrying with a slightly higher tip and fresh state may succeed if the issue was transient (e.g., race condition on account)."
